Player,Pos,Team,Rank,Bye Week,Sort Pos,Comment,Comment 2
Allen Lazard,WR,NYJ,60,7,3,May become QB favorite,
Courtland Sutton,WR,DEN,60,9,3,,
D.J. Chark,WR,CAR,60,7,3,,
Dalton Kincaid,TE,BUF,60,13,3,,
Darius Slayton,WR,NYG,60,13,3,,
Darnell Mooney,WR,CHI,60,13,3,,
David Njoki,TE,CLE,60,,3,,
Evan Engram,TE,JAC,60,9,3,,
George Kittle,TE,SF,60,9,3,,
Isaiah Hodgins,WR,NYG,60,13,3,,
Jakobi Meyers,WR,LV,60,13,3,,
Jimmy Graham  ,TE,NO,60,13,3,,
K J Osborn,WR,MIN,60,13,3,,
Kadarius Toney,WR,KC,60,10,3,Knee,i
Marquez V Scantling,WR,KC,60,10,3,,
Pat Freiermuth,TE,PIT,60,6,3,,
Rondale Moore,WR,ARI,60,14,3,,
Tyler Boyd,WR,CIN,60,7,3,,
Jameson Williams,WR,DET,62,9,3,Sus 6 weeks,
ike Gesicki,TE,NE, ,11,3,,
Adam Humphries,WR,WAS,,14,3,,
Alec Pierce,WR,IND,,11,3,,
Allen Robinson,WR,PIT,,6,3,,
Amari Rodgers,WR,HOU,,7,3,,
Andy Isabella,WR,ARI,,14,3,,
Austin Hooper,TE,LV,,13,3,,
Breshad Perriman,WR,IND,,11,3,,
Brock Wright,TE,DET,,9,3,,
Cade Otton ,TE,TB,,5,3,,
Ced Wilson,WR,MIA,,10,3,,
Chase Claypool,WR,CHI,,13,3,,
Chigoziem Chijonko,TE,TN,,7,3,,
Chris Moore,WR,TN,,7,3,,
Cole Beasley,WR,NYG,,13,3,,
Cole Kmet,TE,CHI,,13,3,,
Curtis Samuel,WR,WAS,,14,3,,
Dalton Kirkaid,TE,BUF,,13,3,,
Dalton Schultz,TE,HOU,,7,3,,
Daniel Bellinger,TE,NYG,,13,3,,
Daniel Tillman,WR,CLE,,5,3,,
Dante Pettis,WR,NYG,,13,3,,
Dawson Knox,TE,BUF,,13,3,,
Denzel Mims,WR,NYJ,,7,3,,
DeVante Parker,TE,NE,,11,3,,
Devin Duvernay,WR,BAL,,13,3,,
Donovan Peoples-Jones,WR,CLE,,5,3,,
Duvan Smythe,TE,MIA,,10,3,,
Gerald Everett,TE,LAC,,5,3,,
Greg Dulich,TE,DEN,,9,3,,
Hayden Hurst ,TE,CAR,,7,3,,
Hunter Henry,TE,NE,,11,3,,
Hunter Renfrow,WR,LV,,13,3,,
Iam Thomas,TE,CAR,,7,3,,
Irv Smith,TE,CIN,,7,3,,
Isiaiah McKenzie,WR,IND,,11,3,,
Jake Fergusion,TE,DAL,,7,3,,
Jalan Tolbert,WR,DAL,,7,3,,
Jalen Reagor,WR,MIN,,13,3,,
Jalin Hyatt,WR,NYJ,,7,3,,
Jamison Crowder,WR,,,,3,,
Jarvis Landry,WR,NO,,11,3,,
Jason Moore,WR,LAC,,5,3,,
Jauan Jennings,WR,SF,,9,3,,
Jayden Reed,WR,GB,,6,3,,
John Metchoe,WR,HOU,,7,3,,
Jonnu Smith,TE,ATL,,11,3,,
Josh Downs,WR,IND,,11,3,,
Josh Palmer,WR,LAC,,5,3,,
Juwan Johnson,TE,NO,,11,3,,
Kendrick Bourne,WR,NE,,11,3,,
Kenny Golladay,WR,FA,,,3,,
Khail Shakir,WR,BUF,,`13,3,,
LaQuon Treadwell,WR,BAL,,13,3,,
Luke Musgrave,TE,GB,,6,3,,
Luke Schoonakar,TE,DAL,,7,3,,
Mack Hollins,WR,ATL,,11,3,,
Marquez Callaway,WR,DEN,,9,3,,
Marquise Goodwin,WR,CLE,,5,3,,
Marvin Jones,WR,DET,,9,3,,
Marvin Mims,WR,DEN,,9,3,,
Mecole Hardman,WR,NYJ,,7,3,,
Michael Gallup,WR,DAL,,7,3,,i
Michael Mayer,TE,LV,,13,3,,
Michael Wilson,WR,ARI,,14,3,,
Nathanial Dell,WR,HOU,,7,3,,
Nelson Agholor,WR,BAL,,13,3,,
Noah Brown,WR,HOU,,7,3,,
Noah Fant,TE,SEA,,5,3,,
O J Howard,TE,LV,,13,3,,
Olmido Zaccheaus,WR,ATL,,11,3,,
Parbel Washington,WR,JAC,,9,3,,
Parris Campbell,WR,NYG,,13,3,,
Phillip Dorsett,WR,LV,,13,3,,
Preston Williams,WR,MIA,,10,3,,
PUKA Nacua,WR,LAR,,10,3,,
